42429643;40.71766;-73.99223;-1.291408;0.7106572
42429644;40.71858;-73.99175;-1.2914;0.7106733
42429761;40.71919;-73.99055;-1.291379;0.710684
42429762;40.71911;-73.99029;-1.291374;0.7106825
42429766;40.71911;-73.98973;-1.291364;0.7106825
42429769;40.71887;-73.98898;-1.291351;0.7106784
42429773;40.71862;-73.98817;-1.291337;0.710674
42429782;40.71839;-73.98737;-1.291323;0.7106699
42432066;40.72123;-73.98777;-1.29133;0.7107195
42432071;40.72074;-73.98616;-1.291302;0.710711
42432094;40.7169;-73.9862;-1.291303;0.7106439
42432095;40.71716;-73.98704;-1.291317;0.7106484
42432097;40.71741;-73.98788;-1.291332;0.7106528
42432099;40.71765;-73.98867;-1.291346;0.7106571
42432102;40.7179;-73.98948;-1.29136;0.7106614
42432103;40.71812;-73.99023;-1.291373;0.7106653
42432105;40.71827;-73.99072;-1.291382;0.7106678
42432108;40.71835;-73.99097;-1.291386;0.7106693
42432111;40.71885;-73.99262;-1.291415;0.710678
42437082;40.71959;-73.98676;-1.291312;0.710691
42437096;40.72008;-73.98836;-1.29134;0.7106994
42437962;40.71734;-73.99117;-1.29139;0.7106517
42437965;40.71617;-73.9918;-1.291401;0.7106313
42437967;40.71505;-73.99237;-1.29141;0.7106118
42437990;40.71514;-73.99263;-1.291415;0.7106132
42437992;40.71624;-73.99201;-1.291404;0.7106324
42437996;40.71742;-73.99142;-1.291394;0.710653
42440408;40.71596;-73.98674;-1.291312;0.7106276
42440679;40.71467;-73.99113;-1.291389;0.710605
42440682;40.71579;-73.99055;-1.291379;0.7106246
42440686;40.71697;-73.98995;-1.291368;0.7106453
42440785;40.71441;-73.99024;-1.291373;0.7106005
42440792;40.7149;-73.99189;-1.291402;0.710609
42445617;40.71555;-73.98975;-1.291365;0.7106205
42445620;40.71602;-73.99131;-1.291392;0.7106286
42447428;40.7162;-73.98753;-1.291326;0.7106318
42451593;40.71646;-73.98838;-1.291341;0.7106363
42451660;40.71792;-73.9931;-1.291423;0.7106618
42452076;40.7172;-73.99071;-1.291381;0.7106493
42452084;40.71671;-73.98915;-1.291354;0.7106407
42453700;40.71442;-73.99213;-1.291406;0.7106007
486867459;40.71871;-73.98906;-1.291353;0.7106755
486867490;40.71895;-73.98981;-1.291366;0.7106798
486867513;40.71846;-73.98825;-1.291339;0.7106712
486867534;40.71822;-73.98746;-1.291325;0.710667
486867548;40.71793;-73.98663;-1.29131;0.710662
486868138;40.71812;-73.98654;-1.291309;0.7106653
588455739;40.7146;-73.99023;-1.291373;0.7106038
588455740;40.71478;-73.99017;-1.291372;0.7106069
1919595911;40.72241;-73.98717;-1.29132;0.7107401
1919595924;40.72192;-73.98553;-1.291291;0.7107315
2349482098;40.71738;-73.99127;-1.291391;0.7106523
3212472646;40.71739;-73.99132;-1.291392;0.7106525
3212472654;40.71909;-73.9906;-1.29138;0.7106822
3212472655;40.719;-73.99033;-1.291375;0.7106807
3212472853;40.7174;-73.99135;-1.291393;0.7106527
3212698619;40.71841;-73.99094;-1.291385;0.7106704
3212698623;40.71834;-73.99068;-1.291381;0.710669
3212698624;40.71829;-73.991;-1.291387;0.7106683
3212698628;40.71821;-73.99075;-1.291382;0.7106669
3314293707;40.72129;-73.98774;-1.29133;0.7107206
3314293708;40.72119;-73.98779;-1.291331;0.7107188
3314293715;40.71898;-73.98892;-1.29135;0.7106802
3314293716;40.71889;-73.98905;-1.291353;0.7106787
3314293717;40.71885;-73.98891;-1.29135;0.710678
3314293718;40.71873;-73.98913;-1.291354;0.7106759
3314293719;40.71869;-73.989;-1.291352;0.7106752
3314293720;40.71864;-73.9891;-1.291353;0.7106743
3314293721;40.71865;-73.98829;-1.291339;0.7106746
3314293722;40.71859;-73.98806;-1.291335;0.7106734
3314293723;40.7185;-73.98837;-1.291341;0.7106718
3314293724;40.71843;-73.98814;-1.291337;0.7106706
3314293725;40.71838;-73.9883;-1.291339;0.7106698
3314293726;40.71873;-73.98811;-1.291336;0.7106758
3683152667;40.71734;-73.98714;-1.291319;0.7106517
3683152668;40.71749;-73.98764;-1.291328;0.7106543
3683152669;40.71787;-73.98745;-1.291325;0.7106609
3683152670;40.71772;-73.98694;-1.291316;0.7106582
3683152671;40.71763;-73.98757;-1.291327;0.7106567
3683152672;40.71748;-73.98707;-1.291318;0.710654
3683152673;40.71777;-73.9875;-1.291326;0.7106591
3683152674;40.71762;-73.98699;-1.291317;0.7106565
3683152675;40.71745;-73.98753;-1.291326;0.7106536
3683152676;40.71732;-73.98759;-1.291327;0.7106513
3683152699;40.71704;-73.98666;-1.291311;0.7106465
4202931917;40.71664;-73.98896;-1.291351;0.7106394
4215596089;40.71904;-73.98795;-1.291333;0.7106813
4215624275;40.71856;-73.98856;-1.291344;0.7106729
4215624276;40.71879;-73.98931;-1.291357;0.7106769
4300912709;40.71824;-73.99063;-1.29138;0.7106674
4300912711;40.71837;-73.99106;-1.291388;0.7106696
4332491212;40.72252;-73.98711;-1.291319;0.7107421
4478001045;40.72254;-73.9871;-1.291319;0.7107424
4492750451;40.71681;-73.9894;-1.291359;0.7106425
4561657049;40.7207;-73.98618;-1.291302;0.7107102
4561657051;40.7208;-73.98613;-1.291302;0.7107121
4598752825;40.72233;-73.98721;-1.29132;0.7107387
4598752862;40.72185;-73.98557;-1.291292;0.7107303
